Id,Refractive_index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,Glass_Type
29,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.00,0.00,TYPE1
150,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.00,0.00,TYPE3
179,1.51829,14.46,2.24,1.62,72.38,0.00,9.26,0.00,0.00,TYPE6
123,1.51687,13.23,3.54,1.48,72.84,0.56,8.10,0.00,0.00,TYPE2
58,1.51824,12.87,3.48,1.29,72.95,0.60,8.43,0.00,0.00,TYPE1
180,1.51852,14.09,2.19,1.66,72.67,0.00,9.32,0.00,0.00,TYPE6
130,1.52020,13.98,1.35,1.63,71.76,0.39,10.56,0.00,0.18,TYPE2
33,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,TYPE1
73,1.51593,13.09,3.59,1.52,73.10,0.67,7.83,0.00,0.00,TYPE2
167,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.00,0.00,TYPE5
136,1.51789,13.19,3.90,1.30,72.33,0.55,8.44,0.00,0.28,TYPE2
42,1.51755,12.71,3.42,1.20,73.20,0.59,8.64,0.00,0.00,TYPE1
34,1.51753,12.57,3.47,1.38,73.39,0.60,8.55,0.00,0.06,TYPE1
18,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.00,0.00,TYPE1
4,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.00,0.00,TYPE1
174,1.52043,13.38,0.00,1.40,72.25,0.33,12.50,0.00,0.00,TYPE5
198,1.51727,14.70,0.00,2.34,73.28,0.00,8.95,0.66,0.00,TYPE7
48,1.52667,13.99,3.70,0.71,71.57,0.02,9.82,0.00,0.10,TYPE1
153,1.51779,13.64,3.65,0.65,73.00,0.06,8.93,0.00,0.00,TYPE3
142,1.51851,13.20,3.63,1.07,72.83,0.57,8.41,0.09,0.17,TYPE2
200,1.51609,15.01,0.00,2.51,73.05,0.05,8.83,0.53,0.00,TYPE7
46,1.51900,13.49,3.48,1.35,71.95,0.55,9.00,0.00,0.00,TYPE1
135,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.00,0.00,TYPE2
89,1.51618,13.01,3.50,1.48,72.89,0.60,8.12,0.00,0.00,TYPE2
11,1.51571,12.72,3.46,1.56,73.20,0.67,8.09,0.00,0.24,TYPE1
148,1.51610,13.33,3.53,1.34,72.67,0.56,8.33,0.00,0.00,TYPE3
41,1.51793,12.79,3.50,1.12,73.03,0.64,8.77,0.00,0.00,TYPE1
25,1.51720,13.38,3.50,1.15,72.85,0.50,8.43,0.00,0.00,TYPE1
64,1.52227,14.17,3.81,0.78,71.35,0.00,9.69,0.00,0.00,TYPE1
109,1.52222,14.43,0.00,1.00,72.67,0.10,11.52,0.00,0.08,TYPE2
31,1.51768,12.65,3.56,1.30,73.08,0.61,8.69,0.00,0.14,TYPE1
5,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.00,0.00,TYPE1
100,1.51811,12.96,2.96,1.43,72.92,0.60,8.79,0.14,0.00,TYPE2
213,1.51651,14.38,0.00,1.94,73.61,0.00,8.48,1.57,0.00,TYPE7
71,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.00,0.12,TYPE2
185,1.51115,17.38,0.00,0.34,75.41,0.00,6.65,0.00,0.00,TYPE6
98,1.51743,12.20,3.25,1.16,73.55,0.62,8.90,0.00,0.24,TYPE2
99,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.00,0.00,TYPE2
139,1.51674,12.79,3.52,1.54,73.36,0.66,7.90,0.00,0.00,TYPE2
133,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.00,0.00,TYPE2
184,1.51969,14.56,0.00,0.56,73.48,0.00,11.22,0.00,0.00,TYPE6
47,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.00,0.16,TYPE1
207,1.51645,14.94,0.00,1.87,73.11,0.00,8.67,1.38,0.00,TYPE7
191,1.51613,13.88,1.78,1.79,73.10,0.00,8.67,0.76,0.00,TYPE7
37,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.00,TYPE1
43,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.00,0.00,TYPE1
62,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.00,TYPE1
159,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.00,0.00,TYPE3
96,1.51860,13.36,3.43,1.43,72.26,0.51,8.60,0.00,0.00,TYPE2
166,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.00,0.00,TYPE5
113,1.52777,12.64,0.00,0.67,72.02,0.06,14.40,0.00,0.00,TYPE2
56,1.51769,12.45,2.71,1.29,73.70,0.56,9.06,0.00,0.24,TYPE1
202,1.51653,11.95,0.00,1.19,75.18,2.70,8.93,0.00,0.00,TYPE7
118,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0.00,0.00,TYPE2
183,1.51916,14.15,0.00,2.09,72.74,0.00,10.88,0.00,0.00,TYPE6
55,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.00,0.09,TYPE1
13,1.51589,12.88,3.43,1.40,73.28,0.69,8.05,0.00,0.24,TYPE1
171,1.52369,13.44,0.00,1.58,72.22,0.32,12.24,0.00,0.00,TYPE5
86,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.00,0.00,TYPE2
92,1.51605,12.90,3.44,1.45,73.06,0.44,8.27,0.00,0.00,TYPE2
40,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.00,0.00,TYPE1
125,1.52177,13.20,3.68,1.15,72.75,0.54,8.52,0.00,0.00,TYPE2
212,1.52065,14.36,0.00,2.02,73.42,0.00,8.44,1.64,0.00,TYPE7
76,1.51590,13.02,3.58,1.51,73.12,0.69,7.96,0.00,0.00,TYPE2
119,1.51673,13.30,3.64,1.53,72.53,0.65,8.03,0.00,0.29,TYPE2
158,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.00,0.00,TYPE3
84,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.00,0.09,TYPE2
103,1.51820,12.62,2.76,0.83,73.81,0.35,9.42,0.00,0.20,TYPE2
193,1.51623,14.20,0.00,2.79,73.46,0.04,9.04,0.40,0.09,TYPE7
44,1.52210,13.73,3.84,0.72,71.76,0.17,9.74,0.00,0.00,TYPE1
74,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.00,0.00,TYPE2
164,1.51514,14.01,2.68,3.50,69.89,1.68,5.87,2.20,0.00,TYPE5
27,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.00,0.00,TYPE1
17,1.51784,12.68,3.67,1.16,73.11,0.61,8.70,0.00,0.00,TYPE1
196,1.51545,14.14,0.00,2.68,73.39,0.08,9.07,0.61,0.05,TYPE7
160,1.51796,13.50,3.36,1.63,71.94,0.57,8.81,0.00,0.09,TYPE3
146,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.00,0.35,TYPE2
208,1.51831,14.39,0.00,1.82,72.86,1.41,6.47,2.88,0.00,TYPE7
168,1.51969,12.64,0.00,1.65,73.75,0.38,11.53,0.00,0.00,TYPE5
85,1.51409,14.25,3.09,2.08,72.28,1.10,7.08,0.00,0.00,TYPE2
177,1.51905,14.00,2.39,1.56,72.37,0.00,9.57,0.00,0.00,TYPE6
1,1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00,TYPE1
77,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.00,0.00,TYPE2
105,1.52410,13.83,2.90,1.17,71.15,0.08,10.79,0.00,0.00,TYPE2
107,1.53125,10.73,0.00,2.10,69.81,0.58,13.30,3.15,0.28,TYPE2
28,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.00,0.00,TYPE1
88,1.51645,13.40,3.49,1.52,72.65,0.67,8.08,0.00,0.10,TYPE2
162,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,TYPE3
182,1.51888,14.99,0.78,1.74,72.50,0.00,9.95,0.00,0.00,TYPE6
79,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.00,0.14,TYPE2
38,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.00,0.00,TYPE1
90,1.51640,12.55,3.48,1.87,73.23,0.63,8.08,0.00,0.09,TYPE2
138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.00,0.00,TYPE2
65,1.52172,13.48,3.74,0.90,72.01,0.18,9.61,0.00,0.07,TYPE1
75,1.51596,13.02,3.56,1.54,73.11,0.72,7.90,0.00,0.00,TYPE2
