@relation train

@attribute SeriousDlqin2yrs {NO,YES}
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute DebtRatio numeric
@attribute MonthlyIncome numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberOfDependents numeric

@data
NO,0.022984,71,0,0.404606,3820,7,0,1,0,0
NO,0.57541,57,0,0.381004,11928,5,0,1,0,0
NO,0.283205,37,0,1375,?,6,0,2,0,0
NO,0.007049,55,0,0.152434,6100,7,0,0,0,0
NO,0.101031,70,0,0.290336,4666,6,0,2,0,0
NO,1,54,0,2681,?,2,1,1,0,0
NO,0.067573,74,0,0.478595,7147,13,0,2,0,0
NO,0.939312,39,0,0.5045,9000,10,0,2,0,2
NO,0.451741,53,0,0.398375,6400,10,0,1,0,2
NO,0.126866,44,0,0.411244,5086,7,0,1,0,0
NO,1,61,0,0.424144,4000,5,0,1,0,0
NO,0.060351,61,0,0.174951,8750,4,0,1,0,1
NO,0.151373,63,0,0.249039,6500,7,0,2,0,0
NO,0.049997,30,0,28,?,2,0,0,0,0
NO,1.036264,37,0,0.496604,3974,6,0,0,0,0
NO,0.659306,37,2,0.391419,3425,6,2,0,0,3
NO,0.63485,28,0,0.119331,2270,2,0,0,0,2
NO,0.100149,57,0,0.31598,5800,11,0,1,0,0
NO,0.678957,29,1,0.111078,3339,6,0,0,0,0
YES,0.029744,61,0,1.016541,10216,18,0,6,0,0
NO,0.070027,45,0,0.184019,14166,7,0,1,0,2
NO,0.198937,39,0,0.479152,10000,4,0,2,0,1
NO,0.079757,86,0,619,?,3,0,0,0,0
NO,0.019378,60,1,0.254199,6608,15,2,1,0,0
NO,0.976892,80,0,4391,?,20,0,1,0,0
NO,0.871521,46,2,0.467097,5728,9,0,1,2,2
YES,0.0811,33,2,0.091792,5250,10,0,0,0,1
NO,0.13592,40,0,0.262114,6500,9,0,1,0,3
NO,0.16841,47,0,2210,?,3,0,1,0,3
YES,0.117481,59,0,173,?,8,1,0,0,0
NO,1,46,0,1519,?,1,2,1,0,0
NO,0,29,0,0.573907,1440,8,0,0,0,0
NO,0.125696,63,0,0.035301,3200,3,0,0,0,0
NO,0.605473,48,0,0.550225,2000,7,0,0,0,2
NO,0.070741,65,0,0.146764,2193,5,0,0,0,0
NO,0.744663,51,0,0.203188,3700,6,0,0,0,0
NO,0.248199,25,0,0.205606,5315,5,0,1,0,1
NO,1.071646,47,0,0.048223,13333,6,0,0,0,2
NO,0,40,0,2594,?,5,0,1,0,4
NO,0.66671,38,0,0.29096,3240,6,0,0,0,1
NO,0.192807,29,0,5,?,1,0,0,0,?
NO,0.027904,41,0,1967,?,11,0,2,0,0
NO,0.006066,37,0,0.257093,8000,6,0,1,0,3
NO,0.668733,52,0,0.106985,7000,8,0,0,0,3
NO,0.027209,52,0,285,?,9,0,0,0,1
NO,0.038694,58,0,0.21031,8011,12,0,1,0,0
NO,0.020957,51,0,2363,?,9,0,1,0,?
NO,0.112658,53,0,2650,?,6,0,3,0,0
NO,0.057076,54,0,687.5,1,8,0,1,0,0
NO,0.019408,49,0,0.362769,4506,6,0,1,0,2
YES,0.133363,25,0,99,?,4,0,0,0,?
NO,0.015489,61,0,1972,0,9,0,1,0,0
NO,0.155644,56,0,0.336832,2000,5,0,1,0,0
NO,0.024005,51,0,0.004051,5923,5,0,0,0,0
NO,0.019354,72,0,27,?,4,0,0,0,0
NO,0.170532,33,0,0.086166,5500,8,1,0,1,1
NO,0.307818,49,0,0.349854,4781,8,0,2,0,2
NO,0.053718,67,0,0.148148,3185,12,0,0,0,0
NO,0.3199,48,2,0.341623,7800,11,0,2,1,1
NO,0,67,0,0.129397,8500,8,0,2,0,0
NO,0.003221,66,0,1370,?,9,0,2,0,2
NO,0.363633,30,0,0.233674,5083,16,0,0,0,0
NO,0.730539,25,0,0.004998,2000,1,0,0,0,0
NO,0.011472,68,0,0.151057,15000,6,0,1,0,0
NO,0.029674,57,0,0.031587,2500,10,0,0,0,0
NO,0.616341,64,0,508,0,3,0,0,0,0
NO,0.191908,53,0,0.348496,12134,12,0,1,0,2
NO,0.016721,50,0,0.546273,6666,4,0,2,0,2
NO,0,48,0,0.244263,4400,17,0,1,0,0
YES,1,25,98,0,2200,0,98,0,98,0
NO,0.643087,58,0,0.592034,8083,12,0,1,0,0
NO,0.031877,86,0,246,?,6,0,0,0,?
NO,0.127027,73,0,0.174513,1592,5,0,1,0,0
YES,0.075554,66,2,0.180838,4080,10,0,0,0,0
NO,0.502887,40,1,0.199981,10500,10,0,2,1,2
YES,0.848804,30,0,0.423884,1858,5,0,0,0,1
NO,0,48,0,0.484402,6250,11,0,2,0,2
NO,0.524593,76,0,1.713861,2690,12,0,2,0,0
NO,0.032012,65,0,0.352018,2675,15,0,1,0,0
NO,0.390526,55,0,0.666204,3600,9,0,2,0,0
NO,0.027177,65,0,0.156077,11000,6,0,1,0,0
NO,0.189818,62,0,15.47012,250,12,0,2,0,2
NO,1.12749,38,1,1319,?,4,3,1,0,0
NO,0,70,0,0,4539,1,0,0,0,0
NO,0.820786,35,0,0.19945,2907,5,0,0,0,0
NO,0.020224,63,0,0.005435,6255,3,0,0,0,0
NO,0.015551,49,0,12,?,3,0,0,0,0
NO,0.019195,73,0,0.634131,1546,6,0,1,0,0
NO,0.73948,40,2,0.462439,3500,14,0,0,0,0
NO,0.033559,47,0,0.300197,3550,11,0,1,0,0
NO,0.161582,44,0,0.905249,6057,15,0,3,0,2
NO,0.009199,28,0,0.208528,1500,7,0,0,0,0
NO,0.453494,50,0,2837,?,8,0,1,0,0
NO,0.007125,67,1,0.186116,7000,25,0,1,0,0
YES,0.717131,46,1,0.831764,2335,5,4,1,2,3
NO,0.738428,65,0,0.601675,9554,14,0,1,0,0
NO,0.878244,21,0,13,?,1,0,0,0,0
NO,0.370026,68,0,0.533078,6000,9,0,1,0,1
NO,0.268512,48,0,0.384001,11275,9,0,1,0,5
NO,0.001258,68,0,1622,?,8,0,1,0,0
NO,0,25,0,0.307482,1095,3,0,0,0,0
NO,0.356193,47,0,0.247072,7256,8,0,1,0,3
NO,0,32,0,0,10500,2,0,0,0,0
NO,0.009973,43,0,0.272542,5400,8,0,1,0,0
NO,0.024858,42,0,0.531136,7916,13,0,1,0,0
NO,0.008048,66,0,0.197167,9600,6,0,2,0,1
NO,0.036866,51,0,0.26841,8296,10,0,1,0,1
YES,1.294821,37,1,0.042699,4800,2,1,0,1,4
NO,0.01845,63,0,0.304405,5357,12,0,1,0,0
NO,0.002425,58,0,3,?,5,0,0,0,0
NO,0.987957,56,1,0.223542,8333,11,0,1,0,3
NO,0,54,0,2763,?,5,0,1,0,0
NO,0.324542,51,0,0.267894,4400,3,0,2,0,2
NO,0.913943,38,1,0.656797,5200,14,0,3,0,3
NO,0.102082,51,0,0.17241,10416,11,0,1,0,0
NO,0.636939,43,1,0.220083,6024,5,0,0,0,0
NO,0.063913,73,0,0.019136,8308,11,0,0,0,0
NO,0.008951,40,0,0.189306,10416,11,0,1,0,0
NO,0.672905,53,0,3.054496,1100,11,0,2,0,1
NO,0.441402,71,0,0.467219,7000,32,0,0,0,0
NO,0.455796,39,0,1496,?,8,0,0,0,?
NO,0.059899,49,1,0.178117,7000,8,0,1,0,2
NO,0.191351,66,1,2155,?,14,0,2,0,0
YES,0.650679,34,1,0.007498,3200,2,0,0,0,4
NO,0.01258,56,0,0.226848,19166,13,0,2,0,2
NO,0.024053,46,0,2996,?,15,0,1,0,0
NO,0.30497,37,0,0.408847,12500,12,0,1,0,2
NO,0.736653,51,3,0.168115,4258,3,2,0,0,2
NO,0.102297,55,0,0.264874,10000,6,0,2,0,2
NO,1,30,1,0,2232,0,1,0,0,0
NO,0.465998,40,1,0.355066,3128,5,0,1,0,3
YES,0.752416,39,3,0.765193,2533,3,0,2,0,2
NO,0.321234,34,1,0.276672,10000,5,0,1,0,2
NO,1.068409,33,0,0.317889,1704,4,6,0,0,0
NO,0.977674,31,0,0.547726,2000,3,0,1,0,2
NO,0.172165,59,1,0.271292,18750,8,0,2,0,2
NO,0,34,0,0,4220,7,0,0,0,0
NO,0.029717,70,0,0.161253,2585,14,0,0,0,0
NO,0.497519,46,0,0.679938,9091,15,0,1,0,0
NO,0.02911,38,0,0.45792,7354,6,0,1,0,0
NO,1.026297,40,0,1153,?,6,1,1,0,2
NO,0.026094,57,0,0.315766,13376,22,0,2,0,0
NO,0.541522,59,1,0.564859,4000,12,0,2,0,0
NO,0.927984,27,0,0.302401,4331,8,0,0,0,0
NO,0.066266,44,0,0.335653,12500,13,0,2,0,1
NO,0.021574,55,0,1054,?,6,0,1,0,0
NO,0.033657,55,0,0.254016,6597,10,0,1,0,1
NO,0.053714,66,2,0.954633,2600,16,0,2,0,0
NO,0.200577,50,0,0.226567,8054,11,0,2,0,0
NO,0.316094,55,0,0.355565,7016,10,1,1,1,1
NO,0.22547,74,0,0.358996,15066,11,0,3,0,0
NO,0,27,0,0,?,3,0,0,0,?
NO,0.160654,33,0,0.248094,8000,8,0,1,0,0
NO,0.923802,36,0,0.390336,6642,8,0,1,0,0
NO,0.225605,49,0,0.469537,7500,3,0,1,0,0
NO,0,64,0,0,2765,4,0,0,0,0
NO,0.841139,37,0,0.391764,5584,12,0,1,0,2
NO,0.695748,51,1,0.235555,13100,6,0,1,0,0
NO,0.19279,42,0,0.340255,6500,11,0,1,0,2
NO,0.169221,42,0,0.358443,2800,14,0,1,0,1
NO,0.266905,52,0,3161,?,11,0,1,0,3
NO,0.149186,55,0,0.659529,1400,19,0,0,0,1
NO,0.162245,46,0,1892,?,8,0,1,0,0
NO,0.254549,75,0,0.802158,1667,10,0,1,0,0
NO,0.021417,67,0,0.253574,11400,8,0,1,0,0
NO,0.334823,70,0,0.249545,15940,12,0,2,0,0
NO,1.010075,70,0,1293,?,3,0,0,0,0
NO,0.948117,45,0,0.399,5400,7,0,1,0,2
YES,0.191578,29,0,0.521977,4936,9,0,2,0,2
NO,0,41,0,0.118485,8000,7,0,1,0,3
NO,0.609404,46,0,0.463568,9208,8,0,2,0,2
NO,0.036207,63,0,0.158092,4800,5,0,1,0,0
NO,0.790004,61,1,3446,?,11,0,2,0,0
NO,0.354071,43,0,0.341579,8044,15,0,1,0,1
NO,0.37705,55,1,0.406815,6250,15,0,3,0,0
NO,1,62,0,7484,?,9,0,3,0,0
NO,0.029625,54,0,0.168282,6500,9,0,1,0,1
NO,0.133648,68,0,0.035618,5586,8,0,0,0,0
NO,0,40,0,0.014925,200,3,0,0,0,2
NO,0.01516,69,0,2655,?,11,0,1,0,0
NO,0.021828,64,0,0.344084,13115,8,0,2,0,1
NO,0.028571,46,0,0.349287,7500,6,0,1,0,2
NO,0.040623,69,0,82,?,3,0,0,0,0
NO,0.001907,78,0,1,?,3,0,0,0,?
NO,0.03429,60,0,0.264109,7689,15,0,1,0,0
NO,0.876338,41,2,0.493467,8800,11,1,4,0,2
NO,0.891246,50,0,0.170497,7700,5,0,0,0,2
NO,1.245671,74,0,0.300284,7755,11,0,0,0,0
NO,0.033829,50,0,0.591429,4106,15,0,1,0,0
NO,0.714815,60,1,0.383002,9200,16,0,2,0,1
NO,0,85,0,0,?,4,0,0,0,0
NO,0.02036,67,0,0.636648,4152,6,0,1,0,0
NO,0.215068,49,1,4185,?,13,0,2,0,?
NO,0.00293,39,0,0.313523,7083,6,0,1,0,0
NO,0.967258,31,1,0.418171,5150,8,0,0,0,0
NO,0.921184,52,3,1334,?,6,0,0,2,0
NO,0,54,0,0.04157,10800,5,0,1,0,3
NO,0.231109,47,0,2880,?,7,0,1,0,?
NO,0.019651,51,0,0.003593,6400,7,0,0,0,0
NO,0.014896,67,0,1.217976,4683,10,0,3,0,0
NO,0.386275,51,1,0.223556,16666,15,0,2,0,0
NO,1.003139,29,1,2.568862,500,12,0,0,1,0
NO,0.108267,36,0,0.239875,9950,16,0,2,0,2
NO,0.052481,52,0,0.039749,4301,8,0,0,0,1
NO,0.065835,68,0,91,?,3,0,0,0,?
YES,0.041555,54,1,0.134767,5438,8,0,1,2,0
NO,0.014282,62,0,1796,?,11,0,1,0,0
NO,0.213192,55,0,0.548445,7750,28,0,2,0,2
NO,0.011816,65,0,0.106919,7500,26,0,1,0,0
NO,0.116796,52,0,0.553688,12972,31,0,3,0,0
NO,0.027718,78,0,0.30258,4302,7,0,1,0,0
YES,0.012218,53,1,0.134993,6666,6,0,0,0,1
NO,1,103,0,0,1600,3,0,0,0,0
NO,0.459708,63,0,0.019423,3500,1,0,0,0,0
NO,0.01731,46,0,0.348081,8000,11,0,1,0,0
NO,0,70,0,0.25399,3633,12,0,1,0,0
NO,0.317668,36,0,0.430221,2944,5,0,1,0,2
NO,0.090286,83,0,0.403933,6203,22,0,1,0,1
NO,0.04373,62,0,0.233938,13400,7,0,2,0,0
NO,0.698129,57,0,0.484748,3933,12,0,1,0,1
NO,0.010111,53,0,0.278206,2986,4,0,0,0,1
NO,0.493213,33,0,0.394293,4800,7,0,0,0,1
NO,0.74169,54,0,0.552006,8700,12,0,2,0,1
NO,0.206088,40,0,0.074985,5000,4,0,0,0,2
NO,0.743171,58,0,0.554734,6083,12,0,1,0,1
NO,0.957009,35,0,1.306907,1664,6,0,1,0,0
NO,0.240898,61,0,1.234568,2915,11,0,1,0,0
NO,0,63,0,1913,?,5,0,2,0,0
NO,0.114537,71,0,0.078668,40333,6,0,1,0,1
NO,0.004936,71,0,0.289178,4000,8,0,2,0,0
NO,0.015406,72,1,0.005266,5316,5,0,0,0,0
NO,0.808477,32,0,0.025543,2348,2,0,0,0,0
NO,0.904404,43,0,0.143313,7200,8,0,0,0,2
NO,0.505314,58,0,1.260457,4637,15,0,1,0,0
NO,0.062782,31,0,0.200154,5200,5,0,1,0,3
NO,0.017077,43,0,0.212372,7500,13,0,1,0,4
NO,1,36,0,0,3603,1,0,0,0,0
NO,0.523886,57,0,0.113893,14416,4,0,1,0,1
NO,0.126301,61,0,0.85528,2300,14,0,1,0,0
NO,0.039496,52,0,0.404542,12900,17,0,2,0,3
NO,0.077028,65,0,617,?,12,0,0,0,0
NO,0.965517,25,3,0.116259,3517,3,0,0,0,0
NO,0.028124,68,0,0.281111,4933,12,0,4,0,0
NO,0.024243,74,0,3065,?,14,0,3,0,0
NO,0.888466,40,0,0.442801,7097,11,0,4,0,1
NO,0.191738,51,0,2627,?,11,0,2,0,0
NO,0,83,0,0,2940,6,0,0,0,0
NO,0.015694,63,0,0.00657,7000,8,0,0,0,2
NO,0.472682,46,0,0.076264,3500,5,0,0,0,0
NO,0.027361,36,0,9,?,2,0,0,0,2
YES,1.744511,49,0,1.22431,2500,4,4,2,1,1
YES,0.3393,41,0,0.419373,5295,5,0,1,0,3
NO,1,56,0,0.195019,2850,2,2,0,2,1
NO,0.500989,45,0,0.519341,6798,12,0,1,0,3
NO,0.01116,61,0,2274,?,9,0,1,0,0
NO,0.519345,30,0,3352,?,9,0,2,0,2
NO,0,68,0,3942,?,9,0,2,0,0
NO,0.003545,43,0,2,?,6,0,0,0,0
NO,0.606664,57,1,0.330381,10275,16,0,2,0,1
NO,0.402186,35,0,0.431062,4416,6,0,1,0,0
NO,0.002737,77,0,0.000654,4589,5,0,0,0,0
NO,0.214213,57,0,0.275995,9847,5,0,1,0,1
NO,0.178481,42,0,0.480791,9500,15,0,1,0,2
NO,0.06662,67,0,0.213913,11700,10,0,2,0,0
NO,0.498757,52,3,0.666144,5100,16,0,1,0,1
NO,1,35,0,0.252723,16250,8,0,5,0,0
NO,0.62243,54,0,0.483172,3000,8,0,1,0,1
NO,0,55,0,0.235403,8100,6,0,1,0,1
NO,0.08422,42,0,0.458551,6694,26,0,2,0,4
NO,0,65,0,1336,?,5,0,1,0,0
NO,0.603383,50,0,0.341508,13700,14,0,2,0,2
NO,0.048499,63,0,0.278944,5000,5,0,1,0,2
NO,0.548679,48,0,0.199205,3523,2,0,0,0,0
NO,0.26991,53,0,204,?,2,0,0,0,0
NO,0.81903,25,0,0.097639,4700,9,0,0,0,1
NO,0.800847,43,2,0.703218,4349,6,0,1,0,1
NO,0.452766,42,0,0.418805,4753,8,0,1,0,3
NO,0.019161,65,0,0.183548,5834,8,0,2,0,1
NO,0.147747,32,5,0.25762,3050,14,0,0,2,0
NO,0.007201,63,0,38,?,5,0,0,0,0
NO,0.10994,54,0,0.574072,8268,20,0,1,0,0
NO,0.134245,62,1,0.254637,13316,15,0,3,1,0
NO,0.006044,28,0,0.529779,2400,9,0,2,0,0
YES,0.926689,46,0,0.60069,4056,9,0,1,0,2
NO,0.830007,71,1,0.229782,3115,9,0,0,0,0
NO,0.235313,43,0,0.364751,4646,13,0,2,0,2
NO,0.576351,65,0,0.30152,6579,9,0,1,0,1
NO,0.98077,48,1,0.531313,7488,5,0,2,0,3
YES,0.992002,45,7,2.594044,637,10,1,1,1,0
YES,1.073202,43,3,0.399076,11250,10,1,1,1,3
NO,0.004466,88,0,2,?,4,0,0,0,0
NO,0.058824,23,0,0.026578,300,2,0,0,0,0
YES,0.052536,30,0,349,?,10,0,0,0,1
NO,0.111535,48,0,0.152582,4685,10,0,0,0,0
NO,0.502236,68,0,1.284043,3333,10,0,2,0,0
NO,0.353179,68,0,0.279992,63333,19,0,7,0,0
NO,0.419187,39,0,2.286948,2083,14,1,2,0,2
NO,1,37,0,0.33819,11667,5,0,2,0,2
NO,0.078077,60,0,0.566105,3917,14,0,1,0,2
YES,1,63,2,1031,0,7,2,2,0,0
NO,0.029394,24,0,0.010241,4100,2,0,0,0,0
NO,0.010066,39,0,3284,?,9,0,1,0,0
NO,0,55,0,0.529486,11818,13,0,5,0,2
NO,0.585361,48,0,0.76041,1560,4,0,1,0,1
NO,0.001046,81,0,0,?,9,0,0,0,0
NO,0.000378,59,0,0.112995,25000,16,0,2,0,0
NO,0.451181,50,0,0.4583,3800,4,0,1,0,0
NO,0.034091,86,0,0.026245,1485,16,0,0,0,0
NO,0,47,0,1415,?,4,0,1,0,0
NO,0.222844,75,0,0.030552,9000,4,0,0,0,0
NO,0,38,0,0.139209,6500,9,0,0,0,4
NO,0.053264,57,0,2581,?,10,0,1,0,0
YES,0.432214,33,0,0.328206,5200,6,0,1,0,1
YES,1.458472,55,1,1.180455,1800,3,1,1,0,0
NO,1,41,1,0.040735,5007,2,0,0,0,0
NO,0.063563,68,0,78,?,3,0,0,0,0
NO,0.763146,30,1,0.259038,4342,8,0,0,0,0
NO,1,36,0,0.34444,2400,1,0,1,0,0
NO,0.296504,66,0,1972,?,4,0,2,0,0
NO,0.116607,64,0,0.016691,13000,10,0,0,0,0
NO,0.000456,90,0,0,?,8,0,0,0,0
NO,0,21,0,0,0,1,0,0,0,0
NO,0.117195,53,0,0.444511,3333,6,0,1,0,0
NO,0.146693,31,0,0.012442,4500,5,0,0,0,0
NO,0.401393,30,0,0.032202,5775,3,0,0,0,1
NO,0.260424,29,0,0.105033,5483,8,0,0,0,0
NO,0.162382,58,0,0.345976,10783,11,0,2,0,1
NO,0.008353,63,0,0.804066,7083,21,0,2,0,0
NO,0.126784,84,0,649,?,5,0,1,0,0
NO,0.024117,84,0,19,?,8,0,0,0,0
NO,0.008332,77,0,1,?,1,0,0,0,0
NO,0.520413,32,0,0.299594,3200,4,0,0,0,0
NO,0.090895,50,0,0.006706,8052,2,0,0,0,1
NO,1.013428,38,0,0.254658,6600,5,0,2,0,2
NO,0.089466,75,1,0.190084,7764,12,0,1,0,0
NO,0,62,0,508,?,4,0,0,0,0
NO,0.25965,71,0,0.459703,2890,6,0,1,0,0
NO,1,48,0,0.155476,3916,4,0,0,0,2
NO,0.160646,42,0,0.316336,6255,15,0,2,0,2
NO,0.113407,43,0,0.405719,5000,9,0,2,0,3
NO,0.576519,72,0,3031,?,11,0,1,0,0
NO,0,27,0,2.007937,251,3,0,0,0,1
NO,0.008219,73,0,0.007746,4001,8,0,0,0,0
NO,0.081127,42,0,607,?,8,0,1,0,0
NO,0.504743,80,0,1.044591,5000,19,0,1,0,0
YES,1,51,2,0.102388,8750,4,0,0,0,1
NO,0.015209,48,0,0.581144,6660,13,0,3,0,3
NO,2.034078,41,1,0.105185,674,3,0,0,0,0
NO,0.38392,62,0,0.322179,4900,10,0,0,0,0
NO,0.19486,58,0,3379,?,12,0,2,0,3
YES,0.896083,23,0,0.041479,2000,3,1,0,1,0
NO,0.080905,56,0,76,1,4,0,0,0,1
NO,0,78,0,0,9913,6,0,0,0,0
NO,0.845366,40,0,0.393547,4400,12,0,0,0,2
NO,0.138793,22,0,0.02043,929,3,0,0,0,0
NO,0.995501,49,0,3070,?,6,0,1,0,?
YES,0.765816,49,1,0.109975,4400,5,1,0,0,3
NO,1,35,0,0.291569,3000,2,0,0,0,0
NO,0.042686,54,0,1.510711,3500,6,0,1,0,0
NO,0.666689,50,0,0.750875,6000,5,0,2,0,0
NO,0.062731,70,4,0.703135,4560,11,1,1,1,1
NO,0.017049,61,0,0.221656,5300,7,0,1,0,2
NO,0.183427,46,0,0.212441,4452,6,0,1,0,2
NO,0,31,0,0.707676,3738,5,0,1,0,0
NO,0.034348,82,0,0.005799,5000,4,0,0,0,0
NO,0.008053,63,0,0.189315,10500,32,0,1,0,1
NO,0.135241,59,0,0.454984,5808,12,0,2,0,1
NO,0.018547,84,0,31,?,8,0,0,0,0
YES,0.521135,79,2,3879,?,26,1,2,0,0
NO,1,47,0,0.587804,3000,4,0,1,0,0
NO,0.269977,59,0,1601,?,9,0,1,0,0
YES,0.517741,62,1,0.130744,5200,3,0,0,0,0
NO,0.027799,46,0,20,?,3,0,0,0,?
YES,1.022704,44,2,0.200472,8050,6,2,0,2,1
NO,0.08448,64,0,0.162718,12493,9,0,1,0,0
NO,0.342213,50,0,0.403648,8333,10,0,3,0,2
YES,0.838924,61,2,0.699244,6609,10,0,2,1,1
NO,0.478095,33,0,0.242098,9743,7,0,1,0,2
NO,0.001611,42,0,0.225102,1967,8,0,0,0,1
NO,0.388697,36,0,0.564991,7500,12,0,2,0,2
NO,0.076548,52,0,0.109201,11400,11,0,1,0,3
NO,0.8439,34,0,0.154005,9200,7,0,0,0,1
NO,1.016147,50,1,0.268803,4400,9,0,0,0,1
NO,0.035643,60,0,1450,?,6,0,1,0,0
NO,0.033864,57,0,0.448063,5833,13,0,2,0,0
NO,0,50,1,0.726567,3477,5,0,1,0,1
NO,1.924171,61,0,945,?,2,1,0,0,0
NO,0.043664,79,0,137,?,12,0,0,0,0
NO,0.7143,37,0,0.79417,3395,7,0,1,0,0
NO,0.050256,42,0,0.186514,5516,10,0,1,0,0
NO,0.980447,42,0,0.316544,10740,9,0,2,0,0
NO,1,48,0,5616,?,5,0,3,0,0
NO,0.039644,57,0,0.261464,8700,9,0,2,0,1
NO,0.179796,38,0,0.156622,11000,7,0,1,0,3
YES,0.991471,59,2,0.274056,12584,14,0,1,1,0
NO,0.038678,58,0,1041,?,11,0,2,0,0
NO,1,45,0,0,3666,0,1,0,0,1
NO,0.058198,56,0,2569,?,11,0,1,0,0
NO,0.007,97,0,3,?,2,0,0,0,?
NO,0.040805,57,0,0.251524,3116,3,0,1,0,0
NO,0.014202,75,0,16,?,5,0,0,0,0
NO,0.062638,69,0,0.327074,3833,8,0,2,0,1
NO,0.006666,73,0,3,?,3,0,0,0,?
NO,0.001854,56,0,2061,?,16,0,1,0,0
NO,0.076989,27,0,0.123318,2748,3,0,0,0,0
NO,0.207379,43,0,0.136863,1000,4,0,0,0,0
NO,1713,47,0,568,?,9,0,0,0,0
NO,0.037671,67,0,0.025193,5834,8,1,0,0,0
NO,0.020219,70,0,931,?,14,0,1,0,0
NO,0.04004,47,0,3750,?,12,0,3,0,2
NO,0.036745,71,0,2077,?,6,0,1,0,0
NO,0.395296,62,3,0.195301,6000,18,2,0,2,1
NO,0.093619,45,0,571,?,9,0,0,0,2
